srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
Chhattisgarh,2013,22801031,3886,1.99,0.02,10,30,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,2013,936922,40124,0.08,0.2,24,22,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,21588306,765835,1.88,3.84,11,8,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,4684527,17636,0.41,0.09,21,24,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2014,7315,514,0,0,36,36,2014,"Calendar Year (Jan - Dec), 2014"
A&N Island,2014,285146,17235,0.02,0.08,31,27,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014,93306974,66333,7.23,0.29,5,22,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014,180964,5204,0.01,0.02,32,30,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,4826702,21537,0.37,0.1,22,26,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,22544377,829508,1.75,3.68,15,8,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014,1061419,28365,0.08,0.13,25,24,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,24488465,7777,1.9,0.03,12,29,2014,"Calendar Year (Jan - Dec), 2014"
Dadra & Nagar Haveli,2014,579638,1799,0.04,0.01,28,34,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,2014,795167,4620,0.06,0.02,26,31,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,22626859,2319046,1.75,10.28,14,4,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014,3544634,513592,0.27,2.28,23,11,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,30912043,235524,2.4,1.04,11,15,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,13442944,547367,1.04,2.43,18,10,2014,"Calendar Year (Jan - Dec), 2014"
