srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Manipur,2014-15,Jun-2014,May-2015,15-24,Male,Foreign Overnight Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Overnight Visitors,103,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Overnight Visitors,31,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Day Visitors,1597,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Day Visitors,213,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Male,Foreign Same Day Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Female,Foreign Same Day Visitors,1,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Male,Foreign Overnight Visitors,25,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Female,Foreign Overnight Visitors,15,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Male,Domestic Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Female,Domestic Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Male,Domestic Day Visitors,3,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,> 60,Female,Domestic Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Male,Foreign Same Day Visitors,6,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,May-2014,Apr-2015,45-60,Female,Foreign Same Day Visitors,1,2014,"Calendar Year (Jan - Dec), 2014"
